objectid,filename,format,registration_number,title,subject,object_classification,material,measurement,colour,cultural_influence,manufacture_place,locations,price,placement,usage_context,position,face_expression,body_part_position,false_gesture,description
dmc1,dmc1.jpeg,image/jpeg,DMC 1,Light Grey Offering Bowl Buddha,Buddha Offering Bowl Indoor,,Artificial Stone ,M-20 CM,Light Grey,Chinese,China,"Bochum, TK Maxx","14,00€",,,,,,,A peaceful depiction of Buddha Shakyamuni sitting cross legged and holding an offering bowl with both hands. His robes are hanging over both shoulders and ears are hanging down to the shoulders. The empty offering bowl can be used for table candles and maybe a small plant or cactus. 
dmc2,dmc2.jpeg,image/jpeg,DMC 2,Light Grey Offering Bowl Buddha,Buddha Offering Bowl Indoor,,Artificial Stone ,M-20 CM,Light Grey,Chinese,China,"Bochum, TK Maxx","14,00€",,,,,,,A peaceful depiction of Buddha Shakyamuni sitting cross legged and holding an offering bowl with both hands. His robes are hanging over both sholders and ears are hanging down to the sholders. The empty offering bowl can be used for table candles and maybe a small plant or cactus. 
dmc3,dmc3.jpeg,image/jpeg,DMC 3,Light Grey Offering Bowl Buddha,Buddha Offering Bowl Indoor,,Artificial Stone ,M-20 CM,Light Grey,Chinese,China,"Bochum, Aldi","14,00€",,,,,,,A peaceful depiction of Buddha Shakyamuni sitting cross legged and holding an offering bowl with both hands. His robes are hanging over both sholders and ears are hanging down to the sholders. The empty offering bowl can be used for table candles and maybe a small plant or cactus. 
dmc4,dmc4.jpeg,image/jpeg,DMC 4,Market Setting of Light Grey Buddha,Shelves Perspective of Buddha,,Artificial Stone ,Variable,Variable,Chinese,China,"Bochum, TK Maxx",Variable,,,,,,,"In the sale section of the TK Maxx department store in Bochum there are two buddhas, one white and one dark gray. The objects resembling Shakyamuni and Avalokiteṣvara are sold together with various gardening supplies and cabinet handles. The sales composition seems to have been placed haphazardly, as no special attention was paid to it."
dmc5,dmc5.jpeg,image/jpeg,DMC 5,Bodhisattva for Garden,Buddha for Outdoor,,Clay Fiber,L-35 CM,Grey,Chinese,China,"Bochum, Rewe","16,00€",,,,,,,A bodhisattva looking like buddha sitting cross legged with the hands in the dhyānamūdra. The face resembling chinese depictions of the bodhisattva of compassion Guan Yin (Avalokiteṣvara). Wears a crown and has long hair. 
dmc6,dmc6.jpeg,image/jpeg,DMC 6,Bodhisattva for Garden,Buddha for Outdoor,,Clay Fiber,L-35 CM,Grey,Chinese,China,"Bochum, TK Maxx","16,00€",,,,,,,A bodhisattva looking like buddha sitting cross legged with the hands in the dhyānamūdra. The face resembling chinese depictions of the bodhisattva of compassion Guan Yin (Avalokiteṣvara). Wears a crown and has long hair. 
dmc7,dmc7.jpeg,image/jpeg,DMC 7,Stylish Bodhisattva Head,Crown Wear Buddha for Indoor,,Brown Clay,M-25 CM,Dark Grey,Chinese,China,"Bochum, TK Maxx","12,00€",,,,,,,"A bodhisattva looking buddha face with a mark for the third eye , a crown, long hair and longears."
dmc8,dmc8.jpeg,image/jpeg,DMC 8,Stylish Bodhisattva Head,Crown Wear Buddha for Indoor,,Brown Clay,M-25 CM,Dark Grey,Indian,China,"Bochum, Rewe","12,00€",,,,,,,"A bodhisattva looking buddha face with a mark for the third eye , a crown, long hair and longears."
dmc9,dmc9.jpeg,image/jpeg,DMC 9,Glitter Baby Buddha,Glittered Baby Bodhisattva,,Ceramic,M-20 CM,White,Indian,China,"Bochum, TK Maxx","12,00€",,,,,,,A buddha with a chinese resemblance with a mala around the neck and a shaved head in meditation posture with crossed legs and arms in meditation mudra.
dmc10,dmc10.jpeg,image/jpeg,DMC 10,Indian Style Buddha Head,Grained Bodhisattva ,,Artificial Stone ,M-25 CM,Dark Gold,Indian,India,"Bochum, TK Tedi","17,00€",,,,,,,A buddha's head resembling buddha Shakyamuni. Smiling with a big nose and long ears. The long hair is in a topknot. Eyes are shut. 
dmc11,dmc11.jpeg,image/jpeg,DMC 11,Buddha Head Kafka Resemblance,Multi-pieced Bodhisattva Head,,Resin,M-25 CM,Dark Gold,Indian,India,"Detmold, TK Maxx","19,00€",,,,,,,
dmc12,dmc12.jpeg,image/jpeg,DMC 12,Buddha Head Kafka Resemblance,Multi-pieced Bodhisattva Head,,Resin,M-25 CM,Dark Gold,Chinese,India,"Detmold, TK Maxx","19,00€",,,,,,,
dmc13,dmc13.jpeg,image/jpeg,DMC 13,Buddha Head Kafka Resemblance,Multi-pieced Bodhisattva Head,,Resin,M-25 CM,Dark Gold,Chinese,India,"Bochum, TK Maxx","19,00€",,,,,,,
dmc14,dmc14.jpeg,image/jpeg,DMC 14,Buddha Head Kafka Resemblance,Multi-pieced Bodhisattva Head,,Resin,M-25 CM,Dark Gold,Chinese,India,"Düsseldorf, TK Maxx","19,00€",,,,,,,
dmc15,dmc15.jpeg,image/jpeg,DMC 15,Market Setting of Garden’s Buddha,Marble Buddha Group,,Marble,Variable,Variable,Chinese,China,"Bochum, TK Maxx",Variable,,,,,,,
dmc16,dmc16.jpeg,image/jpeg,DMC 16,Bodhisattva with Elastic Foot,Elastic Marble Bodhisattva,,Marble,M-20 CM,White,Indian,China,"Bochum, TK Maxx","14,99€",,,,,,,
dmc17,dmc17.jpeg,image/jpeg,DMC 17,Baby Buddha Head,Marble Baby Buddha Head,,Marble,S-15 CM,White,Indian,China,"Bochum, TK Maxx","6,99€",,,,,,,
dmc18,dmc18.jpeg,image/jpeg,DMC 18,Buddhas as Flower Pot or Garden Decoration Display,From Living Room to Garden,,Clay,Variable,Variable,Indian,China,"Bochum, TK Maxx",Variable,,,,,,,
dmc19,dmc19.jpeg,image/jpeg,DMC 19,Cement Brush Buddha Planter,Peaceful Plants,,Clay,L-35 CM,Light Grey,Indian,China,"Bochum, TK Maxx","16,99€",,,,,,,
dmc20,dmc20.jpeg,image/jpeg,DMC 20,Cement Brush Buddha Planter,Peaceful Plants,,Clay,L-35 CM,Light Grey,Indian,China,"Bochum, TK Maxx","16,99€",,,,,,,
dmc21,dmc21.jpeg,image/jpeg,DMC 21,,,,,,,,,,,,,,,,,
dmc22,dmc22.jpeg,image/jpeg,DMC 22,,,,,,,,,,,,,,,,,
dmc23,dmc23.jpeg,image/jpeg,DMC 23,,,,,,,,,,,,,,,,,
dmc24,dmc24.jpeg,image/jpeg,DMC 24,,,,,,,,,,,,,,,,,
dmc25,dmc25.jpeg,image/jpeg,DMC 25,,,,,,,,,,,,,,,,,
dmc26,dmc26.jpeg,image/jpeg,DMC 26,,,,,,,,,,,,,,,,,
dmc27,dmc27.jpeg,image/jpeg,DMC 27,,,,,,,,,,,,,,,,,
dmc28,dmc28.jpeg,image/jpeg,DMC 28,,,,,,,,,,,,,,,,,
dmc29,dmc29.jpeg,image/jpeg,DMC 29,,,,,,,,,,,,,,,,,
dmc30,dmc30.jpeg,image/jpeg,DMC 30,,,,,,,,,,,,,,,,,
dmc31,dmc31.jpeg,image/jpeg,DMC 31,,,,,,,,,,,,,,,,,
dmc32,dmc32.jpeg,image/jpeg,DMC 32,,,,,,,,,,,,,,,,,
dmc33,dmc33.jpeg,image/jpeg,DMC 33,,,,,,,,,,,,,,,,,
dmc34,dmc34.jpeg,image/jpeg,DMC 34,,,,,,,,,,,,,,,,,
dmc35,dmc35.jpeg,image/jpeg,DMC 35,,,,,,,,,,,,,,,,,
dmc36,dmc36.jpeg,image/jpeg,DMC 36,,,,,,,,,,,,,,,,,
dmc37,dmc37.jpeg,image/jpeg,DMC 37,,,,,,,,,,,,,,,,,
dmc38,dmc38.jpeg,image/jpeg,DMC 38,,,,,,,,,,,,,,,,,
dmc39,dmc39.jpeg,image/jpeg,DMC 39,,,,,,,,,,,,,,,,,
dmc40,dmc40.jpeg,image/jpeg,DMC 40,,,,,,,,,,,,,,,,,
dmc41,dmc41.jpeg,image/jpeg,DMC 41,,,,,,,,,,,,,,,,,
dmc42,dmc42.jpeg,image/jpeg,DMC 42,,,,,,,,,,,,,,,,,
dmc43,dmc43.jpeg,image/jpeg,DMC 43,,,,,,,,,,,,,,,,,
dmc44,dmc44.jpeg,image/jpeg,DMC 44,,,,,,,,,,,,,,,,,
dmc45,dmc45.jpeg,image/jpeg,DMC 45,,,,,,,,,,,,,,,,,
dmc46,dmc46.jpeg,image/jpeg,DMC 46,,,,,,,,,,,,,,,,,
dmc47,dmc47.jpeg,image/jpeg,DMC 47,,,,,,,,,,,,,,,,,
dmc48,dmc48.jpeg,image/jpeg,DMC 48,,,,,,,,,,,,,,,,,
dmc49,dmc49.jpeg,image/jpeg,DMC 49,,,,,,,,,,,,,,,,,
dmc50,dmc50.jpeg,image/jpeg,DMC 50,,,,,,,,,,,,,,,,,
dmc51,dmc51.jpeg,image/jpeg,DMC 51,,,,,,,,,,,,,,,,,
dmc52,dmc52.jpeg,image/jpeg,DMC 52,,,,,,,,,,,,,,,,,
dmc53,dmc53.jpeg,image/jpeg,DMC 53,,,,,,,,,,,,,,,,,
dmc54,dmc54.jpeg,image/jpeg,DMC 54,,,,,,,,,,,,,,,,,
dmc55,dmc55.jpeg,image/jpeg,DMC 55,,,,,,,,,,,,,,,,,
dmc56,dmc56.jpeg,image/jpeg,DMC 56,,,,,,,,,,,,,,,,,
dmc57,dmc57.jpeg,image/jpeg,DMC 57,,,,,,,,,,,,,,,,,
dmc58,dmc58.jpeg,image/jpeg,DMC 58,,,,,,,,,,,,,,,,,
dmc59,dmc59.jpeg,image/jpeg,DMC 59,,,,,,,,,,,,,,,,,
dmc60,dmc60.jpeg,image/jpeg,DMC 60,,,,,,,,,,,,,,,,,
dmc61,dmc61.jpeg,image/jpeg,DMC 61,,,,,,,,,,,,,,,,,
dmc62,dmc62.jpeg,image/jpeg,DMC 62,,,,,,,,,,,,,,,,,
dmc63,dmc63.jpeg,image/jpeg,DMC 63,,,,,,,,,,,,,,,,,
dmc64,dmc64.jpeg,image/jpeg,DMC 64,,,,,,,,,,,,,,,,,
dmc65,dmc65.jpeg,image/jpeg,DMC 65,,,,,,,,,,,,,,,,,
dmc66,dmc66.jpeg,image/jpeg,DMC 66,,,,,,,,,,,,,,,,,
dmc67,dmc67.jpeg,image/jpeg,DMC 67,,,,,,,,,,,,,,,,,
dmc68,dmc68.jpeg,image/jpeg,DMC 68,,,,,,,,,,,,,,,,,
dmc69,dmc69.jpeg,image/jpeg,DMC 69,,,,,,,,,,,,,,,,,
dmc70,dmc70.jpeg,image/jpeg,DMC 70,,,,,,,,,,,,,,,,,
dmc71,dmc71.jpeg,image/jpeg,DMC 71,,,,,,,,,,,,,,,,,
dmc72,dmc72.jpeg,image/jpeg,DMC 72,,,,,,,,,,,,,,,,,
dmc73,dmc73.jpeg,image/jpeg,DMC 73,,,,,,,,,,,,,,,,,
dmc74,dmc74.jpeg,image/jpeg,DMC 74,,,,,,,,,,,,,,,,,
dmc75,dmc75.jpeg,image/jpeg,DMC 75,,,,,,,,,,,,,,,,,
dmc76,dmc76.jpeg,image/jpeg,DMC 76,,,,,,,,,,,,,,,,,
dmc77,dmc77.jpeg,image/jpeg,DMC 77,,,,,,,,,,,,,,,,,
dmc78,dmc78.jpeg,image/jpeg,DMC 78,,,,,,,,,,,,,,,,,
dmc79,dmc79.jpeg,image/jpeg,DMC 79,,,,,,,,,,,,,,,,,
dmc80,dmc80.jpeg,image/jpeg,DMC 80,,,,,,,,,,,,,,,,,
dmc81,dmc81.jpeg,image/jpeg,DMC 81,,,,,,,,,,,,,,,,,
dmc82,dmc82.jpeg,image/jpeg,DMC 82,,,,,,,,,,,,,,,,,
dmc83,dmc83.jpeg,image/jpeg,DMC 83,,,,,,,,,,,,,,,,,
dmc84,dmc84.jpeg,image/jpeg,DMC 84,,,,,,,,,,,,,,,,,
dmc85,dmc85.jpeg,image/jpeg,DMC 85,,,,,,,,,,,,,,,,,
dmc86,dmc86.jpeg,image/jpeg,DMC 86,,,,,,,,,,,,,,,,,
dmc87,dmc87.jpeg,image/jpeg,DMC 87,,,,,,,,,,,,,,,,,
dmc88,dmc88.jpeg,image/jpeg,DMC 88,,,,,,,,,,,,,,,,,
dmc89,dmc89.jpeg,image/jpeg,DMC 89,,,,,,,,,,,,,,,,,
dmc90,dmc90.jpeg,image/jpeg,DMC 90,,,,,,,,,,,,,,,,,
dmc91,dmc91.jpeg,image/jpeg,DMC 91,,,,,,,,,,,,,,,,,
dmc92,dmc92.jpeg,image/jpeg,DMC 92,,,,,,,,,,,,,,,,,
dmc93,dmc93.jpeg,image/jpeg,DMC 93,,,,,,,,,,,,,,,,,
dmc94,dmc94.jpeg,image/jpeg,DMC 94,,,,,,,,,,,,,,,,,
dmc95,dmc95.jpeg,image/jpeg,DMC 95,,,,,,,,,,,,,,,,,
dmc96,dmc96.jpeg,image/jpeg,DMC 96,,,,,,,,,,,,,,,,,
dmc97,dmc97.jpeg,image/jpeg,DMC 97,,,,,,,,,,,,,,,,,
dmc98,dmc98.jpeg,image/jpeg,DMC 98,,,,,,,,,,,,,,,,,
dmc99,dmc99.jpeg,image/jpeg,DMC 99,,,,,,,,,,,,,,,,,
dmc100,dmc100.jpeg,image/jpeg,DMC 100,,,,,,,,,,,,,,,,,
dmc101,dmc101.jpeg,image/jpeg,DMC 101,,,,,,,,,,,,,,,,,
dmc102,dmc102.jpeg,image/jpeg,DMC 102,,,,,,,,,,,,,,,,,
dmc103,dmc103.jpeg,image/jpeg,DMC 103,,,,,,,,,,,,,,,,,
dmc104,dmc104.jpeg,image/jpeg,DMC 104,,,,,,,,,,,,,,,,,
dmc105,dmc105.jpeg,image/jpeg,DMC 105,,,,,,,,,,,,,,,,,
